ROI_ID	Mean_Thickness(mm)	GM_Volume(mm^3)	CSF_Volume(mm^3)	WM_Volume(mm^3)	Total_Volume(GM+WM)(mm^3)	Cortical_Area_mid(mm^2)	Cortical_Area_inner(mm^2)	Cortical_Area_pial(mm^2)
1	NaN	0.000000	200788.358871	0.000000	200788.358871	0.000000	0.000000	0.000000
2	NaN	584856.824956	0.000000	0.000000	584856.824956	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000	453232.857904	453232.857904	0.000000	0.000000	0.000000
120	5.389236	29196.879699	16058.242055	15302.389450	44499.269149	7376.168590	5916.078886	10097.527644
121	5.374327	26328.632421	14855.854152	10642.911666	36971.544087	6589.558535	5017.252659	9288.446890
130	4.700487	15180.033768	5364.213905	7795.369491	22975.403259	4136.074993	3537.222985	5530.281302
131	4.839145	16052.237949	6190.461716	8854.005278	24906.243227	4364.303940	3850.052733	5800.684536
142	4.342837	3791.563574	1033.441232	1983.259708	5774.823282	1058.752106	874.050268	1416.494701
143	4.244027	5068.368761	1542.116230	2922.947328	7991.316088	1497.309955	1228.600844	2011.191171
144	4.921330	4924.957502	1873.519951	2435.705107	7360.662609	1370.209139	1100.749041	1957.678017
145	4.422305	4108.809277	1539.797361	1911.107270	6019.916547	1220.134628	931.503809	1696.115343
146	4.442242	1175.895577	228.886876	542.335978	1718.231555	386.525792	458.159661	453.182932
147	4.428811	892.143857	200.941782	262.183269	1154.327126	284.598116	304.026625	371.555082
150	3.973400	14014.076232	5052.383601	9789.196915	23803.273148	4238.633947	3813.851428	5126.855347
151	4.009473	12529.786969	4621.431037	7818.181874	20347.968843	3764.306923	3414.474342	4454.058492
162	6.486057	3165.384658	2306.245387	1150.434619	4315.819277	767.845019	519.332033	1198.554217
163	5.546352	2310.793035	1251.334424	958.538899	3269.331934	634.403408	488.048721	887.993755
164	4.608843	3531.754884	873.664167	1272.346374	4804.101258	990.971738	725.538237	1379.639826
165	4.170911	3512.942924	955.983577	1728.868505	5241.811429	1137.686276	903.215375	1518.406319
166	4.579132	1955.074028	412.757755	695.155748	2650.229777	554.559451	477.378344	751.012520
167	3.949777	3116.739610	696.063727	1678.762238	4795.501848	1036.290473	939.245045	1269.680439
168	5.018868	1956.436937	401.969201	932.011211	2888.448148	535.356518	518.021837	691.256242
169	5.096402	2488.532214	623.968858	1120.885516	3609.417730	661.908659	627.925022	810.687495
170	5.842850	1419.238719	598.413022	444.176275	1863.414994	325.401778	198.010392	486.141850
171	5.377260	1171.609897	510.896573	336.431903	1508.041800	283.672048	168.462475	418.469737
172	5.056039	4539.173415	1606.346846	1658.913450	6198.086865	1229.255257	893.401628	1845.585946
173	5.119755	3014.164335	1409.903615	1039.567647	4053.731982	781.697569	586.619440	1094.833437
182	4.244747	3556.425799	1944.724436	2071.863663	5628.289462	1139.367645	1113.064932	1370.839508
183	4.104282	3312.516716	2239.072281	1875.125018	5187.641734	1084.091189	1002.863099	1286.850994
184	4.342605	9172.257998	2837.603400	4100.415621	13272.673619	2874.798142	2622.787388	3639.719011
