ROI_ID	Mean_Thickness(mm)	GM_Volume(mm^3)	CSF_Volume(mm^3)	WM_Volume(mm^3)	Total_Volume(GM+WM)(mm^3)	Cortical_Area_mid(mm^2)	Cortical_Area_inner(mm^2)	Cortical_Area_pial(mm^2)
1	NaN	0.000000	235558.179096	0.000000	235558.179096	0.000000	0.000000	0.000000
2	NaN	668409.524111	0.000000	0.000000	668409.524111	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000	535120.829950	535120.829950	0.000000	0.000000	0.000000
120	5.139263	30162.526716	16501.872146	17214.138875	47376.665591	8011.447533	6737.411497	10602.101219
121	5.153631	28622.134153	14452.469174	14301.567694	42923.701847	7756.302370	5994.770837	10810.144936
130	4.566354	18644.113601	7789.849430	8781.759183	27425.872784	5413.736817	4314.011706	7680.386040
131	4.714584	18247.574700	6521.031070	11431.315947	29678.890646	5348.679931	4707.958497	7149.084334
142	4.299274	3525.924632	1201.572129	2290.909694	5816.834326	1036.460644	959.976493	1303.761150
143	4.280470	5743.464083	1935.428521	3961.261517	9704.725600	1693.799383	1527.652006	2061.873165
144	4.186499	5369.522138	2468.687409	2940.105010	8309.627148	1639.445006	1378.175532	2108.691294
145	4.227138	4655.551212	1711.438542	2581.245726	7236.796938	1520.581112	1324.466316	2018.995931
146	4.461032	1914.155992	532.830543	903.281773	2817.437764	576.470097	551.612275	767.522625
147	5.676163	1555.723162	640.615090	551.440360	2107.163522	384.368381	301.624256	569.850477
150	4.030896	15307.182787	5453.682247	10960.948944	26268.131731	4720.247797	4341.636597	5651.828501
151	4.195593	13718.970418	4927.634315	8546.561533	22265.531950	4063.561773	3635.360723	4956.609378
162	4.843940	3030.960985	1377.194443	1305.521686	4336.482671	869.986400	716.077682	1219.595321
163	5.169243	2111.420057	1093.071834	817.426079	2928.846135	577.412159	478.780691	774.811780
164	4.179669	4436.644871	1073.429152	1812.902278	6249.547150	1354.596408	1065.345349	1814.013834
165	4.489042	4015.363702	994.333442	1742.709445	5758.073147	1266.720978	1039.886303	1676.368614
166	3.650172	1698.097377	391.020291	774.370885	2472.468263	624.982285	577.412433	739.075437
167	3.969556	3761.181422	1077.738152	1853.637046	5614.818468	1237.065693	1038.705432	1576.596686
168	4.810305	1870.605726	535.504546	892.288062	2762.893789	531.523016	532.066872	590.318029
169	5.794120	3056.587629	1017.695520	1091.434242	4148.021871	735.340369	633.923568	983.311324
170	6.560837	1762.781224	699.953061	565.674185	2328.455409	358.007685	267.572935	491.884421
171	5.076433	1464.938814	431.498741	568.051200	2032.990014	356.391618	298.816619	482.155633
172	5.550066	4689.650527	1789.738322	2170.926783	6860.577309	1296.447487	975.596816	1958.987534
173	5.456055	4121.810044	1650.372887	1510.893390	5632.703434	1094.256171	758.003907	1606.444895
