ROI_ID	Mean_Thickness(mm)	GM_Volume(mm^3)	CSF_Volume(mm^3)	WM_Volume(mm^3)	Total_Volume(GM+WM)(mm^3)	Cortical_Area_mid(mm^2)	Cortical_Area_inner(mm^2)	Cortical_Area_pial(mm^2)
1	NaN	0.000000	194072.218097	0.000000	194072.218097	0.000000	0.000000	0.000000
2	NaN	608146.406079	0.000000	0.000000	608146.406079	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000	546091.529330	546091.529330	0.000000	0.000000	0.000000
120	5.146472	27257.136423	15111.542367	15296.133070	42553.269493	7314.049744	6085.413236	9905.723787
121	4.973221	23448.693156	12924.608804	11642.359589	35091.052745	6366.567168	5232.385527	8402.950162
130	4.334076	13017.043159	5292.303622	7539.204053	20556.247212	3946.752629	3452.874203	5195.150185
131	4.493911	16196.845425	6333.276232	9604.009380	25800.854805	4898.877104	4235.116322	6515.036752
142	4.273800	4358.725695	1487.059028	2368.295542	6727.021237	1220.995781	983.566680	1589.523348
143	3.990926	5254.413360	1724.992290	3880.044700	9134.458060	1666.444279	1471.250166	2044.544210
144	4.520810	4965.649802	2018.825656	2667.334853	7632.984655	1480.837188	1158.882300	2021.500585
145	4.038763	4532.192327	1540.956562	2754.061396	7286.253722	1520.195892	1314.517745	1930.573609
146	4.876961	2566.838452	911.559379	989.072313	3555.910765	691.531074	544.705970	948.419995
147	4.015040	943.082517	225.645139	400.672395	1343.754911	304.028480	329.069247	320.562254
150	3.982009	16382.862703	5009.792821	11887.935550	28270.798253	5056.041447	4586.859481	6071.140529
151	4.282753	15299.800404	4578.208944	10492.541632	25792.342036	4528.404182	4045.553506	5565.112903
162	2.901934	1265.349638	768.839330	1105.941133	2371.290771	617.788428	559.822751	770.992861
163	4.831657	1757.048706	951.832170	840.889239	2597.937945	552.294930	519.523783	740.501079
164	4.038732	2255.526259	544.584714	1035.609151	3291.135410	809.432540	676.262353	1053.378858
165	4.386160	3065.321897	901.093763	1440.034514	4505.356411	1062.038591	867.767764	1419.296925
166	2.778193	967.476891	114.892940	775.640229	1743.117120	486.486384	504.793737	529.849706
167	4.122160	3715.268151	1140.759511	1803.282553	5518.550704	1235.989712	1044.131456	1646.998013
168	4.695193	1468.924284	447.263397	803.662407	2272.586691	464.408204	486.790575	566.320084
169	4.773901	2541.645962	799.696017	1146.078166	3687.724128	732.048608	638.639545	950.634059
170	6.013007	1329.399172	504.736723	449.474178	1778.873351	328.360600	257.580142	453.955455
171	5.376129	1465.323252	629.518983	553.187851	2018.511103	379.536546	298.299498	518.058457
172	4.622345	3942.375192	1311.309320	2119.835726	6062.210918	1169.745896	1001.604141	1515.144131
173	4.649688	3627.262213	1469.376946	1521.441055	5148.703267	1086.790366	787.609414	1549.882940
182	4.360130	4697.875716	1722.218806	2868.625777	7566.501493	1526.342925	1364.607743	1994.370429
183	4.343348	4848.868638	1872.596001	3180.385680	8029.254318	1519.727960	1361.357375	1858.062258
184	3.786255	8536.270589	1810.089411	4819.630489	13355.901078	2974.262536	2818.991738	3563.290460
185	4.068211	9705.382071	2441.442448	4684.326024	14389.708095	3447.059709	3106.343494	4316.560904
186	4.616489	425.257595	72.807668	148.314758	573.572353	128.626509	149.533910	133.359942
187	5.252892	1194.180720	174.889711	482.289628	1676.470349	308.111937	370.608180	294.074003
222	3.601118	13218.485989	5137.121045	9265.833857	22484.319846	4876.653262	4437.077221	6026.493680
223	3.621040	13950.945523	5743.194611	10503.510840	24454.456364	5342.631905	4699.123710	6707.381322
224	4.205590	8574.438820	2098.969511	5162.902179	13737.341000	2532.862023	2222.563244	3291.205717
225	4.404353	10618.903776	3172.906924	6646.299960	17265.203736	3183.143488	2712.130964	4300.837270
226	4.159630	15492.840121	3134.205467	7438.295253	22931.135374	4408.713714	3790.680279	5755.578221
227	4.048691	12150.869286	2877.512242	5694.349141	17845.218427	3750.863573	3228.439867	4982.960728
228	3.688082	14660.050324	5396.323903	8557.246696	23217.297020	5267.444203	4393.378588	6898.539069
229	3.780574	13771.763910	4914.631251	9064.055735	22835.819644	5045.202238	4530.205945	6478.920928
242	3.597401	11068.925179	2820.001832	6211.363637	17280.288816	4012.633773	3826.442542	4781.438959
243	3.850526	11091.784264	2872.360189	6154.766197	17246.550461	3694.342331	3351.661367	4663.034355
310	5.113153	8751.171810	1916.258102	2837.390523	11588.562334	2058.611341	1460.063181	3040.199675
311	5.793932	7117.373495	2193.272036	1457.034817	8574.408312	1506.479897	951.181249	2376.417231
322	4.255657	13179.005979	3518.920647	6483.974121	19662.980101	3845.767762	3479.088049	4694.355191
323	4.246201	12247.994712	3392.213175	5726.242802	17974.237514	3678.498613	3326.319149	4540.362414
324	4.013206	2528.558719	998.496027	1989.785432	4518.344151	928.895714	825.293897	1135.903351
325	3.846109	1683.136894	518.447714	1249.765503	2932.902397	713.610898	603.292078	890.127392
326	4.503341	14925.078053	3191.418736	6527.074007	21452.152059	3997.667051	3423.357035	5210.008156
327	4.434929	17604.947789	3708.263345	8223.429819	25828.377608	4889.855510	4291.060288	6345.731570
328	4.476088	9752.065112	1754.700170	3949.165217	13701.230329	2621.203916	2271.248154	3500.702282
329	4.424490	8853.780230	2535.800204	3558.290048	12412.070278	2534.313321	2083.684978	3409.507249
330	3.938685	8926.329795	799.236224	4469.524439	13395.854234	2622.827393	2337.561651	3265.866045
331	4.086345	7109.498209	879.733004	3561.819160	10671.317369	2170.619635	2018.215811	2735.045865
342	4.217602	3531.075757	744.979709	1581.264723	5112.340480	1077.365175	774.852396	1522.245593
343	4.252836	3780.855323	1072.841552	1523.653331	5304.508654	1202.365686	933.164202	1663.627814
344	NaN	2757.513540	288.397234	1116.989360	3874.502900	0.000000	0.000000	0.000000
345	NaN	2392.925565	326.331929	1244.142634	3637.068199	0.000000	0.000000	0.000000
346	NaN	2107.509136	308.784894	509.706065	2617.215201	0.000000	0.000000	0.000000
347	NaN	1850.194453	335.825200	666.830438	2517.024892	0.000000	0.000000	0.000000
422	4.200313	3059.688193	704.132894	1677.209088	4736.897281	1041.739849	864.864643	1394.865529
423	3.471349	2906.324879	636.584515	2129.540790	5035.865668	1187.114956	1093.140818	1458.233418
