ROI_ID	Mean_Thickness(mm)	GM_Volume(mm^3)	CSF_Volume(mm^3)	WM_Volume(mm^3)	Total_Volume(GM+WM)(mm^3)	Cortical_Area_mid(mm^2)	Cortical_Area_inner(mm^2)	Cortical_Area_pial(mm^2)
1	NaN	0.000000	217261.496461	0.000000	217261.496461	0.000000	0.000000	0.000000
2	NaN	593146.895522	0.000000	0.000000	593146.895522	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000	534625.166098	534625.166098	0.000000	0.000000	0.000000
120	4.715442	26620.875907	13982.495547	17433.805669	44054.681576	7628.807287	6524.307962	9858.534015
121	4.827374	24192.865355	11741.214910	13414.211781	37607.077136	6876.967959	5579.502992	9096.303577
130	4.478933	12855.515548	5399.937115	8180.942362	21036.457910	3946.189743	3428.594853	5223.604833
131	4.440156	14499.244397	6202.500706	9876.267576	24375.511973	4538.003403	4107.235371	5830.236028
142	3.898156	2556.027287	771.806190	2405.793274	4961.820562	907.847572	861.390976	1095.123518
143	4.076013	3992.999206	1678.351408	3870.063981	7863.063187	1326.920256	1321.007529	1570.590566
144	4.090560	5073.851967	2550.069064	3014.742942	8088.594910	1674.135301	1325.573731	2268.287190
145	4.025537	4567.703325	2133.154393	2577.217026	7144.920352	1651.330614	1384.312306	2116.081617
146	4.827400	1875.785314	762.041642	911.941033	2787.726347	557.306137	475.145220	794.065334
147	3.904689	1047.997740	420.803731	397.187472	1445.185212	346.331393	283.625848	440.390657
150	3.871378	14448.189440	5254.346157	11858.346524	26306.535965	4895.620823	4308.870051	5962.951070
151	4.076283	12694.171338	5180.258408	8875.845101	21570.016439	4075.544351	3505.538514	5097.495503
162	4.491450	2643.246474	1467.649642	1106.690929	3749.937403	811.861595	598.992663	1146.440228
163	4.913362	2105.615625	1295.411666	898.860273	3004.475898	674.617553	546.110393	954.485622
164	4.381279	4190.899566	1122.637409	1523.989153	5714.888718	1226.372369	966.503499	1639.824467
165	4.531525	3424.684374	1056.959993	1470.102262	4894.786635	1083.111350	845.886243	1470.751042
166	3.171634	1399.331155	233.308678	811.898783	2211.229938	672.218139	572.813447	890.154094
167	3.681981	2765.529376	765.720908	1552.006837	4317.536213	1016.909054	886.419681	1293.418208
168	4.387980	1762.682598	434.899996	778.955720	2541.638318	560.639530	534.534497	688.864570
169	5.046787	2493.677268	812.700846	1056.019415	3549.696683	724.499026	670.230067	998.776325
170	4.338959	1875.119093	885.930098	816.648782	2691.767875	588.219800	414.504306	819.788326
171	4.717119	1773.468591	831.619918	749.169590	2522.638181	520.262848	380.279040	716.464166
172	4.996136	3723.394494	1463.032541	2004.878891	5728.273385	1082.409112	886.273890	1465.715904
173	5.065760	3345.492957	1928.714035	1657.749082	5003.242038	1013.140684	793.350666	1358.829179
182	4.245511	3577.257537	1729.205569	2298.472586	5875.730123	1185.856571	1150.342479	1392.568251
183	4.406541	3492.277800	1307.952517	2127.735759	5620.013558	1093.497899	1023.354396	1278.842237
184	3.913801	7773.930197	2344.192489	4365.569110	12139.499307	2708.792408	2523.402440	3304.414863
185	3.984159	8417.195150	2168.429563	5017.926448	13435.121598	3136.132907	3020.974751	3844.126057
186	4.777938	627.482583	148.681590	266.555236	894.037819	200.051080	225.619078	228.026081
187	5.218097	1084.712724	265.864970	393.051319	1477.764042	314.140874	375.481231	347.982408
222	3.593473	11580.050181	5697.487578	8178.647821	19758.698002	4659.792565	4054.691292	5898.663465
223	3.750655	12261.238476	6009.224086	9174.071891	21435.310368	4688.976536	4140.986750	5980.810807
224	4.188635	9214.701378	3101.968504	5872.399815	15087.101193	2900.231370	2526.803535	3764.406400
225	4.096552	8962.208347	3030.175572	5989.205896	14951.414242	2935.411808	2715.979920	3618.889831
226	4.226871	12371.346613	3249.406775	6481.174092	18852.520705	3866.991631	3481.748675	5058.326207
227	4.177039	11747.875732	3597.903961	5533.878480	17281.754211	3681.552125	3191.887626	4808.788368
228	3.629726	11442.964434	4898.078520	7267.773672	18710.738106	4259.013259	3561.530290	5609.476710
229	3.786507	12683.867445	5679.271283	7835.186431	20519.053876	4662.228204	4059.401423	5953.037328
242	4.282177	8714.228420	2866.528035	4455.044461	13169.272881	3011.762421	2844.210650	3805.261513
243	4.055774	9569.748352	2878.927610	4917.124201	14486.872553	3294.009531	2900.952080	4298.251571
310	5.188411	8320.872175	1990.801947	2290.068739	10610.940914	1895.096929	1300.369490	2898.919421
311	5.216667	7651.962238	2410.607417	2132.193436	9784.155675	1738.096502	1269.781650	2458.101828
322	4.404389	13382.405349	4091.519294	7121.751424	20504.156773	3946.044116	3513.732360	4925.216476
323	4.072865	11008.791244	3854.593348	5755.593728	16764.384972	3591.291831	3113.848902	4691.476431
324	3.824546	2180.344447	900.445320	1920.007400	4100.351847	871.001390	831.807743	1003.573273
325	3.493648	1565.143048	385.264290	1128.540918	2693.683966	716.126631	637.574769	868.552638
326	4.329785	13349.971418	2609.946400	6122.059674	19472.031092	3785.254739	3181.455646	5127.010741
327	4.445865	15458.378914	3941.063101	7469.202765	22927.581679	4449.872116	3888.225505	5917.659578
328	4.612244	10176.317933	2085.368917	3948.343967	14124.661900	2754.110387	2158.159431	3856.389083
329	4.756865	8713.869341	2381.481249	3751.431000	12465.300341	2437.758658	2073.524046	3224.409098
330	4.080407	9125.373426	1241.152184	4819.405788	13944.779214	2663.640741	2585.836148	3217.754623
331	3.856048	7629.285343	993.435868	3639.871843	11269.157185	2374.638426	2167.711360	2942.653822
342	3.761592	2621.158296	772.765914	1371.463091	3992.621387	1099.955663	808.506069	1548.967437
343	4.411670	4590.169243	1250.237421	1555.719146	6145.888389	1152.808126	874.349407	1590.165724
344	NaN	2703.327988	467.799425	894.680285	3598.008272	0.000000	0.000000	0.000000
345	NaN	2503.819567	206.119649	873.078754	3376.898322	0.000000	0.000000	0.000000
346	NaN	2146.770455	344.215807	465.602063	2612.372518	0.000000	0.000000	0.000000
347	NaN	2115.589828	262.024956	604.243527	2719.833355	0.000000	0.000000	0.000000
422	3.255558	2664.969316	798.319461	2068.178089	4733.147405	1178.243011	1070.161883	1438.336820
423	3.068829	2980.639570	896.264349	2406.012522	5386.652092	1361.431283	1278.422203	1643.505739
424	3.893958	5116.688342	1127.643466	2460.513261	7577.201603	1742.948764	1571.318849	2230.154720
425	3.803185	4185.826824	1089.213227	2422.995588	6608.822412	1513.757874	1394.058543	1945.394601
442	3.893145	3650.149296	1221.681754	1863.285135	5513.434431	1318.799832	1051.489336	1740.031614
443	3.747428	5240.803013	1612.814599	2807.496915	8048.299928	2002.285780	1644.227781	2724.253529
444	3.231473	7207.527159	1744.916927	5205.397893	12412.925053	2987.826309	2682.416019	3771.111493
445	3.061913	6327.119434	1752.216682	5601.036134	11928.155569	3082.082426	2861.660376	3788.055889
446	3.220232	6135.867873	2322.912634	5116.521803	11252.389676	2696.158575	2627.073084	3125.418357
447	3.112228	4827.800559	1718.455668	4907.697284	9735.497843	2370.339457	2248.896257	2855.480572
500	4.852817	5664.998732	1134.366616	1455.939976	7120.938708	1588.735655	1641.968541	1908.928410
501	4.880434	6052.964273	1875.687356	1505.033027	7557.997300	1764.496200	1805.365908	2061.574780
612	0.000000	2228.508674	124.596100	1804.472871	4032.981545	0.000000	0.000000	0.000000
613	0.000000	2378.325290	146.305543	1510.586881	3888.912171	0.000000	0.000000	0.000000
614	0.000000	1647.820534	13.553081	2486.894035	4134.714569	0.000000	0.000000	0.000000
615	0.000000	1945.552269	16.328097	2526.867091	4472.419360	0.000000	0.000000	0.000000
616	0.000000	27.389215	-0.000000	1510.089914	1537.479129	0.000000	0.000000	0.000000
617	0.000000	17.275375	1.329999	1427.103807	1444.379182	0.000000	0.000000	0.000000
620	0.000000	122.278494	17.795271	51.446126	173.724620	0.000000	0.000000	0.000000
621	0.000000	117.669440	15.315869	45.234590	162.904030	0.000000	0.000000	0.000000
640	0.000000	2104.275155	188.862706	4238.488439	6342.763594	0.000000	0.000000	0.000000
641	0.000000	2303.759242	282.314621	4654.442036	6958.201277	0.000000	0.000000	0.000000
670	0.000000	67.654654	262.886696	161.558371	229.213025	0.000000	0.000000	0.000000
671	0.000000	91.971581	157.571352	199.996812	291.968393	0.000000	0.000000	0.000000
680	0.000000	79.824706	265.609711	82.825340	162.650046	0.000000	0.000000	0.000000
681	0.000000	92.675132	219.640843	123.923777	216.598910	0.000000	0.000000	0.000000
690	0.000000	44.542116	43.851678	48.596128	93.138245	0.000000	0.000000	0.000000
691	0.000000	41.936743	38.009365	46.403820	88.340563	0.000000	0.000000	0.000000
710	0.000000	70.882729	134.141770	2.455384	73.338112	0.000000	0.000000	0.000000
720	0.000000	1431.329575	2867.841823	472.865898	1904.195473	0.000000	0.000000	0.000000
721	0.000000	1396.807557	3461.285072	344.864424	1741.671981	0.000000	0.000000	0.000000
740	0.000000	530.340362	2453.052560	90.235336	620.575699	0.000000	0.000000	0.000000
760	0.000000	64.132817	1079.856535	2.469999	66.602816	0.000000	0.000000	0.000000
780	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
800	0.000000	4491.591510	4190.131939	29789.834758	34281.426268	0.000000	0.000000	0.000000
850	0.000000	532.762578	147.700100	6904.523025	7437.285603	0.000000	0.000000	0.000000
900	0.000000	82511.049311	29454.673367	40524.010941	123035.060252	0.000000	0.000000	0.000000
2000	0.000000	14058.182055	6846.643494	164474.459440	178532.641495	0.000000	0.000000	0.000000
