ROI_ID	Mean_Thickness(mm)	GM_Volume(mm^3)	CSF_Volume(mm^3)	WM_Volume(mm^3)	Total_Volume(GM+WM)(mm^3)	Cortical_Area_mid(mm^2)	Cortical_Area_inner(mm^2)	Cortical_Area_pial(mm^2)
1	NaN	0.000000	220546.111953	0.000000	220546.111953	0.000000	0.000000	0.000000
2	NaN	628724.923407	0.000000	0.000000	628724.923407	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000	501573.333660	501573.333660	0.000000	0.000000	0.000000
120	4.942334	28519.751716	12213.700796	15717.092938	44236.844654	7427.942016	6341.641403	9857.632778
121	5.114407	26935.713199	12093.462549	12810.257624	39745.970823	6822.399232	5416.015508	9303.279864
130	4.471281	14477.643172	4203.069331	8080.229562	22557.872734	4022.749164	3426.547608	5396.827838
131	4.736892	15160.910675	4763.212400	8959.499947	24120.410622	4186.785834	3742.167485	5607.538750
142	4.457195	3233.414021	1114.987957	2104.760931	5338.174952	908.351372	826.086159	1146.461298
143	4.391053	4948.767575	1430.867333	3462.369530	8411.137105	1387.867963	1241.611213	1728.883754
144	4.670026	5114.284144	1721.764967	2387.505047	7501.789192	1443.239581	1154.243970	2001.780419
145	4.570233	4708.909172	1423.093624	2470.441082	7179.350254	1337.439171	1113.379660	1787.196158
146	5.585323	1966.453138	825.498134	860.230374	2826.683512	524.971140	457.364261	686.964347
147	4.324181	1114.797952	268.010682	339.542143	1454.340095	327.113382	333.299424	380.340437
150	4.210940	15195.682976	4734.894155	9608.736186	24804.419162	4353.677608	3925.826912	5323.040869
151	4.327468	13638.540867	4689.287509	8453.063698	22091.604565	3918.515361	3436.313035	4871.719427
162	4.656418	2825.486194	1241.487657	1068.158464	3893.644658	821.370657	605.921235	1220.258243
163	4.516194	2671.279882	813.097700	1202.544531	3873.824413	744.835584	612.642722	1014.388149
164	4.613920	4126.476671	1271.239792	1421.196611	5547.673282	1124.021493	857.576304	1555.798441
165	4.762844	4030.411473	965.658809	1530.242661	5560.654134	1147.875136	843.891395	1670.189965
166	4.669071	2502.635676	726.773793	949.452415	3452.088091	743.158231	548.413020	1048.397181
167	4.601065	3880.680342	766.831782	1808.310786	5688.991128	1128.979870	952.546515	1531.754411
168	4.526943	1986.549787	472.271331	757.120332	2743.670119	566.647800	569.244270	633.582309
169	5.446660	2702.311615	715.257945	1157.632502	3859.944118	684.881211	649.177119	845.934683
170	5.782882	2395.698999	885.944491	675.108294	3070.807293	587.089355	375.378389	965.655566
171	4.724504	2519.720775	995.736824	769.804333	3289.525108	644.592715	430.044327	937.682041
172	4.769559	4716.294116	1231.608593	2034.760890	6751.055006	1345.496613	1061.114776	1950.326771
173	4.927425	3762.309902	1335.036418	1285.326558	5047.636460	1040.476289	790.643348	1459.630367
182	4.172522	4164.604368	2556.042703	2020.116870	6184.721238	1257.450159	1133.682696	1477.693373
183	3.999673	3644.184918	2512.093895	1818.404782	5462.589701	1152.898859	1048.776981	1365.745529
184	4.395426	9110.398143	2652.435226	4283.623864	13394.022008	2795.906750	2409.733803	3630.515932
185	4.420305	8940.132975	2812.466384	4001.257744	12941.390718	2829.478406	2689.150794	3439.253445
186	5.885918	501.283270	125.637016	165.760071	667.043342	145.947361	172.675906	194.501992
187	5.556165	789.226103	93.096304	294.728125	1083.954227	206.038488	239.835933	203.818604
222	3.580848	11996.868149	6138.516175	7302.207144	19299.075293	4526.163967	3886.007047	5758.013554
223	3.721917	12782.028648	5586.259801	9351.584049	22133.612697	4541.798232	3983.143551	5835.503438
224	4.254559	8473.327085	2827.996066	4537.653990	13010.981074	2512.708735	2111.989905	3306.027178
225	4.030598	9788.251542	2648.136128	5561.180444	15349.431986	3029.365219	2671.432597	3798.609201
226	4.337901	13417.887656	3328.205974	5757.516515	19175.404171	3810.005694	3175.082748	5189.528427
227	4.172537	11400.774349	3217.794332	5315.480306	16716.254655	3528.720766	3135.093294	4610.723370
228	3.818029	12210.855949	5348.526060	5708.978482	17919.834430	4149.740804	3415.731481	5514.225317
229	4.007254	14731.355027	6857.270838	7179.287105	21910.642131	4930.995464	3976.635651	6648.049986
242	3.756760	9171.574767	3737.691156	4447.241902	13618.816669	3180.294147	2939.472519	3910.272032
243	4.377239	8763.708551	4145.781358	4602.627987	13366.336537	2813.177810	2560.902838	3540.578284
310	5.963464	10091.933207	2529.534529	2545.859101	12637.792309	2065.858389	1334.634241	3283.325389
311	5.574334	7192.207423	2394.548928	1619.828701	8812.036124	1476.177382	914.453903	2350.274689
322	4.409072	13904.499672	4072.306526	7136.265124	21040.764796	3937.345410	3601.381240	4739.181811
323	4.560881	14898.150029	3791.018499	7051.663076	21949.813106	4119.312138	3560.786392	5207.723578
324	3.952256	2509.059614	1013.832020	2114.980907	4624.040522	962.210883	884.363515	1115.851433
325	3.880508	2052.168672	426.574486	1415.498598	3467.667269	814.814618	700.084052	1073.117392
326	4.635922	14443.794074	2729.341735	6046.014659	20489.808733	3610.072408	3098.394449	4752.930229
327	4.417395	15926.347061	2748.751444	7059.083097	22985.430158	4165.888201	3537.665666	5523.421102
328	4.700970	11676.856843	2205.563491	4280.067854	15956.924697	2958.461281	2264.329479	4153.380975
329	4.730955	9946.228834	2300.780753	4038.847756	13985.076590	2628.634576	2014.794045	3753.177227
330	4.186886	9767.633914	1063.849055	4875.824113	14643.458027	2677.027611	2704.556322	3090.409928
331	4.189931	8019.186323	1089.371856	3513.147511	11532.333834	2207.774942	2066.091962	2808.493620
342	4.594190	2784.024969	812.940675	1210.986523	3995.011493	836.385299	615.666954	1191.867119
343	4.910096	3547.777775	1305.716437	1205.988519	4753.766294	1036.782104	718.271840	1526.171526
344	NaN	2844.089311	451.666204	686.266280	3530.355591	0.000000	0.000000	0.000000
345	NaN	2466.912379	514.066994	627.312254	3094.224633	0.000000	0.000000	0.000000
346	NaN	2112.432726	308.714386	468.944191	2581.376917	0.000000	0.000000	0.000000
347	NaN	2050.241630	228.763424	523.306210	2573.547840	0.000000	0.000000	0.000000
422	3.899445	2713.971393	557.018122	1531.642651	4245.614043	974.139503	910.285496	1201.975221
423	3.465559	2882.851589	682.488069	2226.812954	5109.664542	1163.558731	1116.469489	1357.245084
424	3.865252	4925.840107	845.438537	2103.654906	7029.495013	1559.634599	1400.512376	1947.148020
425	3.637053	4467.615890	803.288534	2223.648955	6691.264845	1531.611904	1343.441037	1925.444523
442	4.139250	4396.328083	766.566284	1949.948839	6346.276922	1356.358135	1065.131817	1871.061061
443	3.994046	5219.379625	1244.521351	2834.133216	8053.512841	1747.813715	1557.867175	2266.113972
444	3.316449	7749.362421	2262.280212	5522.764371	13272.126791	3172.293306	2836.317725	4069.059119
445	3.085175	6991.616873	2069.537324	5079.412179	12071.029051	3193.931877	2827.226277	3991.474346
446	3.403294	5287.462218	2209.359260	4267.033826	9554.496044	2242.463659	2175.870672	2686.537209
447	3.030436	5031.134292	1971.906954	4642.444004	9673.578297	2434.606749	2364.644915	2799.786198
500	5.225694	6710.310573	1049.948976	2015.244858	8725.555431	1669.501673	1802.291617	1866.206987
501	5.227136	6588.035807	1172.195733	1895.572813	8483.608620	1668.411988	1797.023613	1866.707815
612	0.000000	2525.263303	227.334020	1192.184455	3717.447758	0.000000	0.000000	0.000000
613	0.000000	2325.482298	432.491024	1181.488454	3506.970752	0.000000	0.000000	0.000000
614	0.000000	1760.248851	-0.000000	2529.003082	4289.251934	0.000000	0.000000	0.000000
615	0.000000	1727.040827	-0.000000	2947.911280	4674.952108	0.000000	0.000000	0.000000
616	0.000000	68.278033	-0.000000	1526.392686	1594.670719	0.000000	0.000000	0.000000
617	0.000000	23.982011	-0.000000	1549.408698	1573.390709	0.000000	0.000000	0.000000
620	0.000000	126.420741	3.751322	60.018023	186.438764	0.000000	0.000000	0.000000
621	0.000000	118.758720	18.105346	55.986021	174.744741	0.000000	0.000000	0.000000
640	0.000000	2261.802844	334.288382	3136.211358	5398.014202	0.000000	0.000000	0.000000
641	0.000000	2048.950431	404.396721	3389.345482	5438.295913	0.000000	0.000000	0.000000
670	0.000000	77.129686	299.148486	113.162048	190.291734	0.000000	0.000000	0.000000
671	0.000000	74.162450	214.573680	139.524062	213.686513	0.000000	0.000000	0.000000
680	0.000000	77.937846	451.388395	85.134037	163.071882	0.000000	0.000000	0.000000
681	0.000000	79.431814	344.138378	111.090049	190.521863	0.000000	0.000000	0.000000
690	0.000000	47.410432	59.199617	31.710013	79.120445	0.000000	0.000000	0.000000
691	0.000000	54.884280	63.303775	37.422015	92.306295	0.000000	0.000000	0.000000
710	0.000000	86.719599	201.274530	5.936003	92.655602	0.000000	0.000000	0.000000
720	0.000000	1288.347119	8387.057258	390.040162	1678.387280	0.000000	0.000000	0.000000
721	0.000000	1248.196014	9711.386938	265.622108	1513.818123	0.000000	0.000000	0.000000
740	0.000000	517.182529	4084.563548	121.086052	638.268581	0.000000	0.000000	0.000000
760	0.000000	49.892053	945.718396	3.220001	53.112054	0.000000	0.000000	0.000000
780	0.000000	9.025751	3.854255	0.420000	9.445751	0.000000	0.000000	0.000000
800	0.000000	5241.028728	4393.565695	27344.742250	32585.770977	0.000000	0.000000	0.000000
850	0.000000	481.093249	154.857051	5873.072634	6354.165884	0.000000	0.000000	0.000000
900	0.000000	78533.085662	20489.184511	46700.575525	125233.661187	0.000000	0.000000	0.000000
2000	0.000000	15654.529267	8209.895836	147809.392295	163463.921562	0.000000	0.000000	0.000000
