ROI_ID	Mean_Thickness(mm)	GM_Volume(mm^3)	CSF_Volume(mm^3)	WM_Volume(mm^3)	Total_Volume(GM+WM)(mm^3)	Cortical_Area_mid(mm^2)	Cortical_Area_inner(mm^2)	Cortical_Area_pial(mm^2)
1	NaN	0.000000	231489.344594	0.000000	231489.344594	0.000000	0.000000	0.000000
2	NaN	685044.555502	0.000000	0.000000	685044.555502	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000	527071.414328	527071.414328	0.000000	0.000000	0.000000
120	5.304138	29652.151325	15031.876174	14867.807233	44519.958558	7380.619253	5894.011881	10224.149245
121	5.439226	27660.416433	14088.393724	11863.269038	39523.685471	6958.766022	5210.991852	9822.972105
130	5.281019	16141.380557	5438.506038	7894.122015	24035.502572	4039.792224	3221.537607	5863.887299
131	5.108799	17310.186368	5400.007487	9156.474900	26466.661268	4559.281353	3825.698906	6464.891943
142	4.319522	3714.296948	990.202667	2464.170860	6178.467809	1013.030059	899.102784	1281.299430
143	4.418913	5753.022797	2312.426717	3796.771631	9549.794428	1621.960557	1341.267716	2134.265780
144	5.125971	6211.844667	2258.299343	2688.510033	8900.354700	1616.240197	1192.364240	2403.700964
145	4.823873	5340.281103	2041.295980	2717.071325	8057.352428	1546.461083	1174.637808	2232.519446
146	4.572130	1991.604675	474.769414	760.192623	2751.797297	556.648194	491.697807	747.068657
147	5.104229	1548.864215	502.350067	403.955607	1952.819821	403.497989	328.419838	600.350780
150	4.243564	15825.765941	5285.572999	9890.833376	25716.599317	4541.487124	4161.392342	5656.998936
151	4.386817	13690.560528	5126.873704	8129.584785	21820.145313	3842.936675	3418.902197	4903.095513
162	5.756417	3210.796644	1388.928961	1184.420572	4395.217216	768.102935	538.352466	1210.671809
163	5.364670	2564.541547	990.480076	968.289747	3532.831294	678.478384	537.791421	1033.157840
164	5.492868	5385.233068	1144.072767	1739.270110	7124.503178	1233.964607	905.016410	1766.734426
165	4.776814	4090.639666	844.096784	1463.867196	5554.506862	1154.740814	897.798894	1583.137132
166	5.097957	2290.812244	415.968423	1139.563492	3430.375736	618.353545	545.395354	826.796808
167	4.148384	3626.983852	624.216016	1894.704819	5521.688672	1108.801395	978.675979	1398.291294
168	5.595038	1944.846247	400.834194	694.687037	2639.533285	486.592761	420.323756	635.626208
169	5.863071	2565.319484	596.910425	934.153219	3499.472704	613.745485	580.449984	843.904889
170	6.077435	2362.990954	830.581148	749.861657	3112.852611	531.356629	414.845452	812.133466
171	5.070561	1902.786557	544.443673	691.556843	2594.343400	488.550178	364.277926	684.521742
172	5.848588	4763.220147	1718.958213	1927.377004	6690.597151	1177.884471	813.259113	1863.292275
173	5.684803	3911.113430	1330.448727	1665.099398	5576.212828	1012.629238	732.019522	1562.832573
182	4.406374	4002.881809	2357.810289	1635.234971	5638.116780	1129.172885	1101.179340	1279.378272
183	4.490699	4068.809956	2437.079923	1795.935930	5864.745886	1138.624487	995.668303	1466.758439
184	4.314248	10838.926972	2128.828623	5184.009646	16022.936618	3238.074986	2879.498560	4057.665315
185	4.440156	11313.717415	2232.706694	5262.358425	16576.075840	3548.343137	3331.622329	4415.852928
186	5.305022	675.150779	94.539890	242.435163	917.585941	181.707049	178.887710	225.631369
187	5.230505	1104.524768	55.445406	507.842957	1612.367725	293.649421	314.205375	325.370060
222	3.772538	13636.434147	6082.951312	6567.956275	20204.390422	4449.760122	3730.316284	5705.275867
223	4.577858	14688.892974	5696.954088	7677.037360	22365.930334	4163.160856	3177.230061	6019.461510
224	4.242830	11703.163650	3209.500708	6071.989216	17775.152866	3219.012384	2671.558529	4273.441867
225	4.612470	11496.716591	4107.827039	5408.039829	16904.756419	3102.743024	2456.628425	4374.570207
226	4.715658	13407.088085	3378.302585	5231.338654	18638.426738	3334.234144	2749.035678	4620.870339
227	4.831883	11673.727655	3093.080622	4628.501843	16302.229497	3073.395431	2429.814605	4465.379053
228	4.706508	12038.408373	4762.579517	4835.362999	16873.771372	3438.438785	2537.624418	5148.130360
229	4.420494	10418.701326	4130.135646	5438.320709	15857.022035	3183.172678	2710.395683	4367.305965
242	3.841379	9795.176121	2936.700236	4504.852652	14300.028773	3185.626509	2875.518912	4067.700981
243	4.668344	10856.099774	4524.910728	4922.685876	15778.785650	3257.864957	2647.086649	4627.424252
310	6.237410	8292.225396	1920.050224	1519.606061	9811.831457	1531.707584	802.846134	2656.264761
311	5.169256	9973.360241	2293.327027	2125.183459	12098.543699	2305.122605	1359.428859	3762.565338
322	4.720159	15968.035652	4429.136510	6854.415601	22822.451253	4062.252811	3350.868062	5453.240361
323	4.346928	13436.370910	4157.159366	6330.411192	19766.782102	3835.315479	3434.937975	4937.331304
324	4.323869	3305.131845	825.441562	1740.022415	5045.154260	1061.885899	931.304979	1336.337810
325	4.104045	2820.809954	750.010396	1223.809903	4044.619857	1014.471332	763.916943	1352.381312
326	4.659747	14799.431961	2768.855283	6298.464460	21097.896420	3651.488565	3047.764872	5015.904103
327	4.953795	21103.036263	4023.354607	7364.045317	28467.081580	5109.005915	3889.093109	7580.081389
328	4.890672	11569.099147	1717.626753	4077.682583	15646.781730	2656.772677	2041.447339	3755.223707
329	5.032663	9493.843399	1796.171131	3230.865666	12724.709064	2304.192785	1775.959376	3288.190398
330	4.137774	9774.823788	971.720048	4100.185017	13875.008804	2779.149309	2632.664634	3389.337281
331	4.755149	7067.893619	895.952384	3164.218165	10232.111784	1804.870812	1799.324107	2189.539189
342	3.906018	3657.931161	1142.489280	1338.834274	4996.765435	1322.116064	916.010393	1934.658350
343	4.173339	2282.431104	972.737208	948.944373	3231.375477	905.400016	646.448226	1280.273490
344	NaN	2672.965040	310.897828	962.230880	3635.195920	0.000000	0.000000	0.000000
345	NaN	2558.043768	576.471203	722.469144	3280.512912	0.000000	0.000000	0.000000
346	NaN	2141.137055	370.470284	394.430692	2535.567747	0.000000	0.000000	0.000000
347	NaN	2189.444197	188.330761	500.333189	2689.777386	0.000000	0.000000	0.000000
