ROI_ID	Mean_Thickness(mm)	GM_Volume(mm^3)	CSF_Volume(mm^3)	WM_Volume(mm^3)	Total_Volume(GM+WM)(mm^3)	Cortical_Area_mid(mm^2)	Cortical_Area_inner(mm^2)	Cortical_Area_pial(mm^2)
1	NaN	0.000000	251391.650620	0.000000	251391.650620	0.000000	0.000000	0.000000
2	NaN	684001.951938	0.000000	0.000000	684001.951938	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000	604004.408149	604004.408149	0.000000	0.000000	0.000000
120	5.128010	29572.082563	20299.571830	16278.733540	45850.816103	7969.891555	6339.352031	10961.649806
121	5.359721	27947.073616	16727.560886	13709.862542	41656.936158	7261.168908	5656.336821	10157.168611
130	4.965911	15211.533704	7682.204469	8548.876401	23760.410106	4432.674750	3627.432068	6223.716005
131	4.602909	16273.902033	7766.438395	9643.330175	25917.232208	5049.589862	4328.627254	6802.907731
142	4.334445	4014.260247	1633.646339	2583.485555	6597.745802	1166.536333	1002.447252	1503.652552
143	4.391391	6209.531904	2042.815524	4370.716526	10580.248430	1813.080250	1514.704720	2363.793485
144	4.726981	4830.586525	2135.338136	2765.711515	7596.298040	1431.094603	1183.419925	1911.161531
145	3.965146	5037.533655	2196.773354	2840.470090	7878.003746	1727.836776	1510.441244	2171.599485
146	5.025393	2005.510285	658.935367	907.943957	2913.454243	541.084989	519.600004	686.515853
147	5.150698	1865.145737	859.876945	744.956652	2610.102389	519.611524	375.720517	747.873562
150	3.812865	14641.350786	4559.709800	12559.424844	27200.775630	4935.069957	4709.914247	5699.969111
151	3.792998	12969.970632	3978.110264	10819.733794	23789.704427	4317.604611	4030.531968	5103.458787
162	6.310039	3488.594458	3387.771472	1341.726175	4830.320634	966.498992	642.054780	1536.861153
163	5.796990	3218.635196	1909.843132	1254.208841	4472.844036	867.942267	585.571884	1335.720977
164	4.768863	4420.469267	1483.200103	1629.470893	6049.940160	1233.989978	921.021795	1737.360119
165	4.586478	3866.685012	1138.056587	1717.096481	5583.781494	1196.229589	962.238480	1568.259097
166	4.365947	1713.891132	450.921663	946.065572	2659.956705	581.473143	566.032307	724.251081
167	3.871382	3434.643538	899.142190	1820.140825	5254.784363	1187.878695	1074.779740	1480.567921
168	5.162655	1986.755275	884.072908	1073.962428	3060.717703	585.068965	550.897266	722.066935
169	4.883636	2734.864173	868.579463	1380.079769	4114.943942	788.315539	809.873254	898.459044
170	5.673611	1631.724745	793.985273	496.307842	2128.032587	372.010746	222.871128	561.882698
171	5.181652	1981.563104	1058.763214	622.503534	2604.066638	489.168594	311.426943	733.134138
172	5.277492	4637.113280	2447.475542	2059.185773	6696.299053	1304.264347	933.330508	1913.285886
173	5.273990	3115.338356	1072.580001	1295.686392	4411.024749	901.451800	767.873801	1246.653270
182	4.114286	4453.287981	1656.903090	3104.073714	7557.361695	1476.764742	1432.175473	1758.324429
183	4.072062	4275.649421	1625.158884	2609.884587	6885.534008	1415.939289	1258.910762	1715.164262
184	4.152091	10819.460900	3139.328726	5882.203742	16701.664642	3593.383128	3258.954507	4411.551100
185	4.287702	10828.751142	2981.248204	5514.952634	16343.703776	3713.533367	3473.395226	4598.014053
186	5.307780	642.981501	85.210923	240.050180	883.031681	183.821928	196.583421	233.330152
187	5.362907	1150.108482	137.783468	481.012807	1631.121290	304.240280	357.231122	319.073625
222	3.275041	12654.877558	5950.712548	9587.825729	22242.703287	5543.724632	4905.799462	6975.892347
223	3.391148	15321.412724	7236.746976	11761.252613	27082.665337	6349.807683	5703.684319	7789.567235
224	4.042602	10542.362205	3451.842636	6310.959776	16853.321981	3305.286786	2890.368499	4323.057608
225	4.425453	10708.782991	3647.755020	6209.307308	16918.090299	3348.349224	2863.464851	4546.926312
226	4.471866	14101.005054	3523.011526	6981.049603	21082.054657	3913.656691	3463.028480	5111.897758
227	4.650913	12652.020066	3549.944310	5518.324048	18170.344113	3471.512880	2954.936770	4688.800609
228	3.458562	13731.330300	4892.972681	8328.219516	22059.549816	5430.125893	4747.538721	6782.506453
229	3.834754	13402.288341	5348.658828	8311.965625	21714.253966	4876.744892	4302.280414	6397.551434
242	3.822101	11376.376249	3623.280367	5489.048495	16865.424744	3824.098822	3466.064441	4727.765807
243	4.066088	11678.088872	3537.909851	5970.958266	17649.047138	3852.744236	3430.681939	4885.454023
310	5.439129	11505.180077	2936.509123	3067.807898	14572.987974	2548.281359	1711.828865	3868.301883
311	5.390319	10432.921885	3319.840928	2482.590857	12915.512742	2257.246997	1457.407744	3480.538648
322	4.090921	14056.288415	4397.016337	7572.205252	21628.493667	4319.695844	4039.331710	5171.296992
323	3.976719	13096.936093	4101.030843	7352.569101	20449.505193	4231.640622	3893.883773	5168.887030
324	4.020334	2617.496615	1076.897620	1612.320039	4229.816654	1009.245013	871.851387	1257.034640
325	3.575028	1712.581297	511.586776	1142.070982	2854.652279	758.400730	620.255385	940.365363
326	4.549130	16955.437860	4078.754292	7305.524077	24260.961937	4403.926381	3587.952879	5834.378364
327	4.294302	18069.871641	4000.130399	8723.570789	26793.442431	5157.413118	4495.469710	6620.387425
328	4.368469	11438.791392	2088.736848	5083.211819	16522.003211	3120.542613	2644.142280	4151.953472
