ROI_ID	Mean_Thickness(mm)	GM_Volume(mm^3)	CSF_Volume(mm^3)	WM_Volume(mm^3)	Total_Volume(GM+WM)(mm^3)	Cortical_Area_mid(mm^2)	Cortical_Area_inner(mm^2)	Cortical_Area_pial(mm^2)
1	NaN	0.000000	227524.200663	0.000000	227524.200663	0.000000	0.000000	0.000000
2	NaN	607509.747407	0.000000	0.000000	607509.747407	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000	545699.130108	545699.130108	0.000000	0.000000	0.000000
120	4.775361	27279.335678	14581.394684	17084.765820	44364.101498	7759.800009	6550.124274	10157.899892
121	4.991298	25656.852947	12112.530393	14132.445248	39789.298195	7191.380565	5835.459754	9792.716224
130	4.635402	13804.273745	6440.073162	7774.713745	21578.987490	4143.243891	3458.269335	5631.315903
131	4.492921	15789.998309	6442.873375	10139.271300	25929.269609	4900.702834	4169.993173	6618.133243
142	4.516295	4182.835231	1632.888056	2515.382040	6698.217271	1161.852874	979.147759	1480.841386
143	4.088711	4578.056816	1370.158918	3706.237262	8284.294078	1406.758654	1359.477824	1697.561477
144	4.259297	4986.201928	1919.420161	2924.390599	7910.592526	1518.257375	1287.879715	1954.932180
145	3.771679	4620.418724	1665.986626	2926.488424	7546.907148	1586.004438	1464.995551	1934.077303
146	4.939103	2196.020961	770.655370	927.556810	3123.577771	590.482828	499.250263	818.597775
147	4.123276	1477.343628	499.416818	499.695193	1977.038820	459.599051	380.935018	589.933322
150	3.902972	14544.025079	4827.157861	11226.743170	25770.768248	4671.560423	4365.936487	5462.365384
151	4.211549	12928.136517	4718.478198	9227.317954	22155.454470	4099.775559	3644.539951	5125.236832
162	5.577802	2379.062460	1425.553535	1027.265494	3406.327954	676.272894	509.518939	980.120747
163	4.876520	2079.314549	942.001380	1085.716837	3165.031386	672.278013	585.680067	972.323151
164	4.495936	3866.642178	1124.030088	1391.986493	5258.628671	1159.422638	879.687830	1565.370004
165	3.968230	3349.927944	1097.419716	1940.631089	5290.559033	1241.301539	1008.881524	1664.475105
166	4.338138	1454.231785	340.757744	822.445861	2276.677646	475.622789	484.141276	571.543753
167	3.814532	2906.053300	828.004278	1802.722671	4708.775971	1050.804314	904.608869	1369.200760
168	5.111070	1667.252659	489.729324	654.633064	2321.885724	478.333112	457.220169	603.748484
169	5.740628	2868.367153	879.278323	1203.935803	4072.302956	749.472513	660.318135	1006.929997
170	4.828853	1603.717950	696.766668	660.090167	2263.808117	463.165459	347.507137	692.428333
171	4.695842	1786.824219	839.756634	686.443312	2473.267531	494.571106	341.686694	700.216980
172	5.836042	4382.866729	2379.074487	1908.313513	6291.180242	1156.920297	884.317196	1604.210560
173	4.831928	3619.247146	1331.470339	1346.821423	4966.068569	1015.861987	805.949619	1421.963310
182	4.263601	3823.620126	1426.237170	2414.919205	6238.539331	1298.546895	1212.874823	1647.332722
183	3.997985	3715.156241	1240.840130	2675.530188	6390.686429	1268.091435	1206.943932	1470.804881
